,Alfalfa & Hay_acres,Alfalfa & Hay_percentage,Almonds_acres,Almonds_percentage,Barren_acres,Barren_percentage,Corn_acres,Corn_percentage,Cotton_acres,Cotton_percentage,Deciduous Forest_acres,Deciduous Forest_percentage,Evergreen Forest_acres,Evergreen Forest_percentage,Fallow_acres,Fallow_percentage,Fruit Trees_acres,Fruit Trees_percentage,Grain Crops_acres,Grain Crops_percentage,Grapes_acres,Grapes_percentage,Grassland_acres,Grassland_percentage,High Intensity Developed_acres,High Intensity Developed_percentage,Low Intensity Developed_acres,Low Intensity Developed_percentage,Mixed Forest_acres,Mixed Forest_percentage,Other Tree Crops_acres,Other Tree Crops_percentage,Rice_acres,Rice_percentage,Shrubland_acres,Shrubland_percentage,Tomatoes_acres,Tomatoes_percentage,Vegs & Fruits_acres,Vegs & Fruits_percentage,Walnuts_acres,Walnuts_percentage,Water_acres,Water_percentage,Wetlands_acres,Wetlands_percentage,Winter Wheat_acres,Winter Wheat_percentage,county,min_elevation,max_elevation,year
2,1102.8568050000001,0.30007352073557,4.225505,0.00114970697599835,194.595625,0.0529470317893979,4.670294999999999,0.0012707287629455499,,,5.33748,0.00145226144336634,7838.756565000001,2.13282746226389,1536.74945,0.41813027390255897,1.7791599999999999,0.00048408714778878096,991.214515,0.269697052211824,3722.44751,1.01283133496108,153671.38668,41.8120592159604,28431.421589999998,7.73583364345166,39470.886995,10.7395338845876,74885.956375,20.3755306048971,8.673405,0.00235992484547031,0.8895799999999999,0.00024204357389439002,30958.051185000004,8.4232979042052,4.670294999999999,0.0012707287629455499,164.12751,0.044657039383515,4.670294999999999,0.0012707287629455499,19403.518959999998,5.27945443378444,4497.494085,1.22371179871656,624.48516,0.16991458887386202,Alameda,-42,1242,2013
2,189.03575,0.040080046926662,,,15482.472715,3.28265014928639,,,,,194.595625,0.0412588718362697,195088.00753,41.3632685702646,0.44478999999999996,9.43059927686165e-05,0.22239499999999998,4.71529963843082e-05,,,,,5644.82989,1.19683735422651,121.42766999999999,0.025745536025832298,3192.480225,0.676881263096745,0.667185,0.000141458989152925,,,,,247783.39080500003,52.5359352985445,,,,,,,2650.50361,0.5619694109081861,1297.45243,0.275090580906054,,,Alpine,1442,3556,2013
2,1326.80857,0.41429030737063205,16.679625,0.00520814164478669,1873.0106899999998,0.5848395857652461,242.632945,0.07576110045949701,,,17190.911105000003,5.36778854667155,114386.866695,35.7168104229497,168.13062,0.052498067779449806,12.00933,0.00374986198424641,120.0933,0.0374986198424641,2587.34343,0.8078869319393099,112912.61024000001,35.256480143439205,440.11970499999995,0.137425497533771,8263.975805,2.5803911383817097,1727.1195699999998,0.539285706845512,1.33437,0.000416651331582935,1.111975,0.00034720944298577904,52457.865415,16.379744356631303,,,1.7791599999999999,0.000555535108777246,122.09485500000001,0.0381235968398385,5822.74589,1.8181275272507302,105.86001999999999,0.0330543389722462,479.48362000000003,0.149716711815468,Amador,43,3121,2013
2,3777.1566799999996,0.37486472843827,46196.556585000006,4.5847872106325305,1869.45237,0.185534203206082,2023.3497100000002,0.20080777786925197,9.118195,0.000904937227153149,33181.556395,3.2931107128896797,408193.790775,40.5112807046857,56434.51041,5.600855143608021,10563.31771,1.04835874183708,2628.041715,0.260820566177287,247.52563500000002,0.024565734971255002,170758.216925,16.9469360260145,4421.65739,0.438828340250217,25520.048645,2.53274272568417,165.684275,0.0164433715665633,790.39183,0.0784426074463974,105624.2813,10.4827045527833,55372.12949500001,5.4954189208248305,94.29548,0.00935837522714476,469.475845,0.046593231378543896,42057.340845,4.17398985278437,21360.372565,2.1199147769848397,11589.89303,1.15024143063071,4257.08509,0.422495326882087,Butte,-1,2192,2013
2,31.802484999999997,0.00501066079403206,28.466559999999998,0.004485067004448279,218.39189,0.0344088734247516,0.8895799999999999,0.00014015834388900902,,,34882.878145,5.49599409933372,255438.00431,40.245697576837394,28.688955,0.00452010659042053,12.231725,0.0019271772284738698,2.22395,0.00035039585972252194,522.18346,0.0822729478628481,207502.763615,32.6932301767922,465.02794500000005,0.0732677742679792,12257.745215,1.93127686003262,3351.270255,0.528011521015868,0.8895799999999999,0.00014015834388900902,,,106091.088405,16.7152490526172,,,0.667185,0.000105118757916756,425.66402999999997,0.0670657675508906,13178.68291,2.07637578554372,245.07929,0.0386136237414219,11.786935,0.0018570980565293601,Calaveras,787,3522,2013
2,14434.547475,1.9920208676500801,47220.463165,6.5165983324172005,1393.304675,0.19228119152342302,6561.542079999999,0.9055170430498101,384.74335,0.0530960034055101,736.794635,0.10168038108812401,30466.335839999996,4.20446687776165,42188.109105,5.8221148844057,1845.656105,0.254707359689207,14280.87253,1.9708131576193202,3025.683975,0.41755556435373703,145568.20246,20.0889496168034,1059.2673849999999,0.14618281168811803,17545.408735,2.4213312119485,5631.48619,0.777165894933137,316.023295,0.0436123819879942,151959.83476,20.9710184826267,169887.98529,23.445169475997698,15801.387144999999,2.18064979073116,4267.76005,0.588966650492335,18293.990305000003,2.52463823360339,2525.07283,0.348469377263678,17745.564234999998,2.44895341025195,11478.250740000001,1.5840409987082,Colusa,-9,1022,2013
2,8448.34126,4.58224470643864,62.49299499999999,0.0338951974968216,87.401235,0.047405027104095596,9973.303775,5.40935989944827,,,76.281485,0.041373853172276896,1767.15067,0.9584741612446409,7048.809525,3.8231611553799296,70.054425,0.0379963957704583,2021.1257600000001,1.09622617384738,3812.7398799999996,2.06796891774203,79586.71949,43.166559311770705,10424.765625,5.65422556108011,20820.17511,11.2925288229802,27290.09045,14.8017070634697,0.44478999999999996,0.000241246957272751,32.024879999999996,0.0173697809236381,4020.45681,2.1806312467883995,799.954815,0.43388265265504294,181.91911000000002,0.0986700055245553,366.729355,0.198908116271384,1559.656135,0.8459324556769029,4314.01821,2.33985423858842,1606.58148,0.8713840096691781,Contra Costa,-30,680,2013
2,,,,,637.161675,0.10085673661395199,,,,,8063.15312,1.27632176009615,456184.852615,72.20979750149878,,,,,,,,,17751.12411,2.80983699932023,599.7993150000001,0.0949426243098882,23946.826415,3.7905587533614495,45761.77436,7.243661074896949,,,,,70778.54312,11.203581699061099,,,,,,,3009.671535,0.476402867922031,5016.34162,0.7940399829194801,,,Del Norte,120,2215,2013
2,5.115085,0.00048782463934382103,,,11353.931934999999,1.08282223097479,,,,,18984.749175,1.8105717538080501,676392.8201850001,64.50744876409631,10.23017,0.0009756492786876421,1.556765,0.00014846836849594498,1.33437,0.000127258601567953,1160.9019,0.11071498336411902,92693.79121,8.840188436053301,1770.7089899999999,0.168872164280674,24689.625715000002,2.35464469504491,6739.90287,0.642783196519732,,,,,201075.32572,19.176513831207203,,,,,0.44478999999999996,4.24195338559844e-05,13086.833775,1.2480887348777,573.7791,0.05472119867421991,8.8958,0.000848390677119688,El Dorado,145,3299,2013
2,85527.33473,2.44731754653765,211666.22040999998,6.05671224122688,245663.96645500002,7.02953900709446,8283.76896,0.23703548334893804,63645.223495000006,1.8211729934569,1122.20517,0.032111282457547796,815223.7885149999,23.327179413295198,124984.21084000001,3.5763543105196702,100861.46998,2.88609537559987,48255.934285,1.3808169642263401,183566.389765,5.25265107400658,596221.201845,17.0605410948369,13928.59885,0.398559179610825,80798.32745,2.3119996095227298,21176.89669,0.605965227541146,52477.65857,1.5016192779187,2531.077495,0.072425387564279,552785.9015800001,15.817663916292302,114893.927295,3.2876264079470503,50083.79879,1.43312029964421,16385.61881,0.46886545162647797,25313.221295,0.7243238764567091,7421.32115,0.21235701458747,71919.87426,2.05794756468123,Fresno,47,4153,2013
